rank,audioName,audioAuthor,platform,usageCount,avgViews,avgLikes,avgShares,avgSaves,engagementScore,trendDirection,trendEmoji,bestContentType,bestUseCase,expirationEstimate,firstSeen,lastSeen,samplePostURL
1,,,tiktok,5,9710060,1603000,22590,135005,3733675.1,declining,📉,humor,Perfect for gym comedy and relatable fitness fails,1 week,2026-02-22,2026-02-28,https://www.tiktok.com/@ajmassive/video/7114510152757153067
2,Simon Says,Pharoahe Monch,tiktok,3,6800000,751100,17300,31728,1690684,rising,🔥,workout,Versatile for general workout and training videos,2-3 weeks,2026-02-22,2026-02-28,https://www.tiktok.com/@brittanycatesfitness/video/7107610906812550442
3,Woman,Doja Cat,tiktok,2,4400000,735700,3181,24826,1566183,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@fitbodybyashley/video/7007141428736429317
4,luther,Kendrick Lamar & SZA,tiktok,3,5100000,579900,12100,93074,1504622,rising,🔥,workout,Versatile for general workout and training videos,2-3 weeks,2026-02-22,2026-02-28,https://www.tiktok.com/@__byjohn/video/7108007908150988075
5,Running Up That Hill (A Deal With God) [2018 Remaster],Kate Bush,tiktok,3,2900000,351800,4564,94258,1012094,rising,🔥,workout,Versatile for general workout and training videos,2-3 weeks,2026-02-22,2026-02-28,https://www.tiktok.com/@leanbeefpatty/video/7106937387611114798
6,Blow,Kesha,tiktok,2,838300,93500,5101,12060,249523.3,new,🆕,motivation,Great for inspiring workout motivation and mindset content,3-4 weeks,2026-02-22,2026-02-22,https://www.tiktok.com/@simon_artalejo/video/7598718959730347278
7,Panic,SM6,tiktok,3,2000000,79500,515,9929,193362,rising,🔥,workout,Versatile for general workout and training videos,2-3 weeks,2026-02-22,2026-02-28,https://www.tiktok.com/@stefiguerreiro_/video/7108492474670124330
8,Work Out (Talkbox),Adam Tahere,tiktok,2,656200,50900,1792,9814,140858.2,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-22,2026-02-22,https://www.tiktok.com/@lilmanlife/video/7052394439385419054
9,U-Digg,Lil Baby & 42 Dugg,tiktok,2,565600,48000,3796,7901,139248.6,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@bodyslayah/video/7005624600553999621
10,Plain Jane,Ikan Gunuc & Emie,tiktok,2,744800,27600,1560,3325,73719.8,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@makesumgains/video/7008736708380478726
11,FaSHioN,CORTIS,tiktok,2,489650,23150,872,2709,59276.7,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-22,2026-02-22,https://www.tiktok.com/@lelasohna/video/7600172456392854786
12,Gym Motivation,Addison Zegan,tiktok,2,319750,21100,751,1662,51260.8,new,🆕,educational,Ideal for fitness tips and instructional content,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@prismaticstrength/video/7003837019558268166
13,Space Jam - Main Theme,Geek Music,tiktok,2,386500,19700,889,2307,51152.5,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@fitnchips/video/7000768133497638149
14,Jail,Kanye West,tiktok,2,415200,17000,196,569,37102.2,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@veronicaridge/video/7006397052145929478
15,Nope your too late i already died,wifiskeleton & i wanna be a jack-o-lantern,tiktok,2,54000,9103,314,1419,24087,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@jb927344/video/7586129196515134734
16,Let's Go,Key Glock,tiktok,2,410150,8125,395,853,21194.2,new,🆕,transformation,Perfect for before/after reveals and progress showcases,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@felixlazoooo/video/7380337652286885162
17,CARNIVAL,KANYE WEST & TY DOLLA $IGN,tiktok,2,62200,3555,119,959,10644.2,new,🆕,transformation,Perfect for before/after reveals and progress showcases,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@xxaviengarcia/video/7354521074748460331
18,Kill The Noise,Papa Roach,tiktok,2,112500,3063,16,27,6399.5,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@paparoach/video/7013815480855186693
19,Tell Em (Slowed & Reverb),Bungus,tiktok,2,32400,989,16,221,2753.4,new,🆕,workout,Versatile for general workout and training videos,3-4 weeks,2026-02-27,2026-02-28,https://www.tiktok.com/@supplementworld/video/7077681308511571206
20,Stateside + Zara Larsson,PinkPantheress,tiktok,2,9278,875,10,78,2043.3,stable,➡️,workout,Versatile for general workout and training videos,2-3 weeks,2026-02-22,2026-02-27,https://www.tiktok.com/@_jamieann/video/7607517378351582497